Entity,Code,Year,Excess mortality from fossil fuels
Afghanistan,AFG,2015,2494
Africa,,2015,67132
Albania,ALB,2015,1308
Algeria,DZA,2015,2008
Angola,AGO,2015,622
Antigua and Barbuda,ATG,2015,4
Argentina,ARG,2015,3815
Armenia,ARM,2015,1240
Australia,AUS,2015,1451
Austria,AUT,2015,7835
Azerbaijan,AZE,2015,1381
Bahamas,BHS,2015,44
Bahrain,BHR,2015,125
Bangladesh,BGD,2015,72971
Barbados,BRB,2015,15
Belarus,BLR,2015,10938
Belgium,BEL,2015,7305
Belize,BLZ,2015,25
Benin,BEN,2015,300
Bhutan,BTN,2015,311
Bolivia,BOL,2015,125
Bosnia and Herzegovina,BIH,2015,3023
Botswana,BWA,2015,204
Brazil,BRA,2015,15682
Brunei,BRN,2015,19
Bulgaria,BGR,2015,8247
Burkina Faso,BFA,2015,567
Burundi,BDI,2015,292
Cambodia,KHM,2015,2169
Cameroon,CMR,2015,650
Canada,CAN,2015,17574
Cape Verde,CPV,2015,22
Central African Republic,CAF,2015,198
Chad,TCD,2015,584
Chile,CHL,2015,1282
China,CHN,2015,1554096
Colombia,COL,2015,3726
Comoros,COM,2015,13
Congo,COG,2015,46
Costa Rica,CRI,2015,371
Cote d'Ivoire,CIV,2015,84
Croatia,HRV,2015,4512
Cuba,CUB,2015,1728
Cyprus,CYP,2015,356
Czechia,CZE,2015,11534
Democratic Republic of Congo,COD,2015,1274
Denmark,DNK,2015,2499
Djibouti,DJI,2015,50
Dominican Republic,DOM,2015,620
East Asia,,2015,1698062
Ecuador,ECU,2015,2079
Egypt,EGY,2015,18539
El Salvador,SLV,2015,747
Equatorial Guinea,GNQ,2015,5
Eritrea,ERI,2015,329
Estonia,EST,2015,755
Eswatini,SWZ,2015,233
Ethiopia,ETH,2015,3496
Europe,,2015,433560
Fiji,FJI,2015,19
Finland,FIN,2015,2369
France,FRA,2015,30802
Gabon,GAB,2015,12
Gambia,GMB,2015,52
Georgia,GEO,2015,2112
Germany,DEU,2015,76052
Ghana,GHA,2015,177
Greece,GRC,2015,6297
Grenada,GRD,2015,3
Guatemala,GTM,2015,1436
Guinea,GIN,2015,249
Guinea-Bissau,GNB,2015,36
Guyana,GUY,2015,17
Haiti,HTI,2015,915
Honduras,HND,2015,427
Hungary,HUN,2015,12660
Iceland,ISL,2015,26
India,IND,2015,691711
Indonesia,IDN,2015,34924
Iran,IRN,2015,9065
Iraq,IRQ,2015,2956
Ireland,IRL,2015,970
Israel,ISR,2015,1925
Italy,ITA,2015,40630
Jamaica,JAM,2015,274
Japan,JPN,2015,83696
Jordan,JOR,2015,1060
Kazakhstan,KAZ,2015,5341
Kenya,KEN,2015,1164
Kiribati,KIR,2015,0
Kuwait,KWT,2015,298
Kyrgyzstan,KGZ,2015,837
Laos,LAO,2015,2245
Latvia,LVA,2015,1682
Lebanon,LBN,2015,2001
Lesotho,LSO,2015,584
Liberia,LBR,2015,15
Libya,LBY,2015,598
Lithuania,LTU,2015,3023
Luxembourg,LUX,2015,293
Madagascar,MDG,2015,196
Malawi,MWI,2015,201
Malaysia,MYS,2015,4220
Maldives,MDV,2015,26
Mali,MLI,2015,495
Malta,MLT,2015,140
Mauritania,MRT,2015,92
Mauritius,MUS,2015,37
Mexico,MEX,2015,32082
Micronesia,,2015,2
Moldova,MDA,2015,3450
Mongolia,MNG,2015,462
Morocco,MAR,2015,2959
Mozambique,MOZ,2015,410
